order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amount
88,334,3,Salad,Whiteburgh,2018-04-15,5,58.81
94,127,9,Computer,Robertschester,2018-01-06,3,24.67
72,414,7,Hat,West Martha,2004-05-06,10,50.2
50,264,9,Table,Randolphchester,2005-02-13,7,21.22
8,340,1,Soap,Shaneview,2006-07-20,4,23.34
74,788,6,Cheese,Robertston,2024-02-02,5,14.71
97,364,3,Salad,Josephmouth,2013-01-14,9,26.66
31,913,1,Tuna,New Carolynborough,2020-10-09,4,35.44
87,209,8,Chicken,Mcbrideshire,2008-09-24,0,29.84
91,154,1,Hat,Port Amandabury,2011-08-04,5,45.65
40,664,2,Sausages,Edwardsmouth,2012-11-29,2,61.96
97,210,7,Fish,Lake Larryside,2017-08-31,6,16.32
83,175,10,Bacon,Port Jerryport,2007-07-07,3,39.84
40,926,10,Cheese,West Sabrina,2025-07-20,3,30.62
83,154,7,Tuna,East Michael,2022-04-25,0,58.52
85,520,7,Pizza,Lake Joan,2004-03-28,2,14.88
8,522,10,Shirt,Pagetown,2015-01-20,8,36.2
53,374,10,Hat,Hallburgh,2000-06-18,5,54.6
30,597,8,Keyboard,Port Jorge,2015-07-02,6,47.86
57,133,5,Bacon,Lake Micheleburgh,2005-02-13,7,50.66
65,410,8,Ball,Lake Dorisville,2009-05-12,6,12.25
11,567,3,Computer,East Summerfurt,2011-08-26,0,18.7
18,564,2,Gloves,Ericksonberg,2025-07-11,9,62.42
29,401,3,Fish,Garcialand,2009-11-26,3,50.66
92,867,8,Hat,Lake Christopherhaven,2026-01-25,3,74.6
27,679,9,Table,North Cody,2026-03-11,6,68.75
63,59,1,Car,North Joseph,2004-11-16,5,64.2
85,450,2,Pants,Edwinview,2004-05-07,8,29.5
0,513,3,Tuna,Shelbyville,2020-05-25,8,63.88
91,567,8,Pants,Bradyton,2012-04-02,5,55.5
29,510,10,Car,West Kayla,2007-08-13,5,24.18
43,215,3,Tuna,East Ashley,2024-09-17,5,64.93
49,897,7,Car,West Ralph,2024-11-16,5,15.83
22,130,7,Chicken,Mathisshire,2012-04-18,3,57.3
77,386,7,Chips,Lake Richard,2011-06-20,0,55.59
56,968,1,Chips,South Brian,2021-01-31,7,14.9
1,574,2,Table,Paigeberg,2007-01-06,8,33.67
97,62,6,Chair,Robertsmouth,2018-10-21,6,12.21
0,337,10,Bike,Wendyville,2011-12-14,5,40.84
90,368,4,Towels,Joybury,2012-09-07,0,12.12
74,755,3,Pizza,West Loriberg,2011-03-11,7,30.15
15,956,3,Ball,South Fred,2019-03-29,1,51.18
3,516,5,Hat,Hooverton,2019-02-11,3,47.71
66,490,5,Chips,Turnerchester,2013-11-13,0,43.3
49,536,7,Cheese,Lake Juliehaven,2018-04-11,0,37.74
24,776,8,Pizza,Lake Richardchester,2004-06-29,9,17.61
64,968,4,Ball,Jessicaborough,2016-09-28,9,13.74
74,293,1,Tuna,North James,2015-02-20,7,45.25
66,75,6,Gloves,Mayerville,2003-09-25,2,66.71
16,938,9,Fish,Port Darren,2005-05-23,0,12.3
96,297,4,Pizza,Morrisonchester,2021-08-30,7,74.64
91,169,5,Tuna,Lauraview,2015-03-06,5,61.3
12,360,6,Pizza,Millsshire,2002-12-28,7,17.6
69,765,4,Chair,East Matthewborough,2019-10-30,4,47.92
74,457,1,Shoes,South Charles,2010-07-15,5,54.16
87,679,4,Salad,Richardburgh,2015-09-12,5,16.7
41,733,3,Computer,Wrightshire,2021-03-20,2,27.93
44,485,4,Pizza,Port Mary,2006-11-17,6,49.36
72,696,6,Salad,Elizabethville,2020-12-22,4,67.9
30,776,5,Sausages,Keithport,2022-09-21,9,10.62
26,409,6,Fish,West Brandiland,2012-07-17,8,57.78
99,99,1,Ball,New Samantha,2020-05-12,1,11.57
72,700,7,Computer,West Austin,2023-07-15,10,44.31
6,263,9,Keyboard,Lowefurt,2003-10-19,4,36.41
70,214,7,Hat,Jimenezburgh,2021-08-05,3,60.33
98,448,7,Chicken,North Laura,2013-08-03,5,26.93
76,456,3,Table,Farleyton,2022-09-15,1,72.86
51,359,1,Ball,Rodgersville,2013-04-19,4,22.33
85,925,4,Towels,Garymouth,2001-07-30,2,60.2
85,370,7,Car,Rodriguezton,2003-10-25,2,58.74
47,736,1,Shoes,North Brianburgh,2023-04-18,9,66.25
97,240,3,Chips,Vanessaville,2005-10-25,8,65.63
2,428,2,Hat,Williamston,2003-05-18,4,31.22
18,714,10,Mouse,Lake Abigailberg,2015-10-19,0,74.5
81,225,4,Tuna,Lake Alisonmouth,2016-08-14,3,16.96
